hash,block_number,index,status,pnl_heuristic,gross_profit,miner_tip,tx_cost,pnl,calldata
0x043f30f13077d41a911d5c04d8a5f15cd6c733b25152c17c62c7361917fcadee,13663560,164,1,2,0.9917541796131242,0.0,0.014983968867444696,0.9767702107456795,0x04236cf57a250d5630b4cf539739df2c5dacb4c659f2488d00000104791ac94700000000000000000000000000000000000000000000005f76c8c9d276e400000000000000000000000000000000000000000000000000000d2c4a48b1d7cd4600000000000000000000000000000000000000000000000000000000000000a000000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000000000000000619b62090000000000000000000000000000000000000000000000000000000000000002000000000000000000000000298d492e8c1d909d3f63bc4a36c66c64acb3d695000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0568e1a9304295aac1c36fa1a9aaa09820fa73ce18c47c4cdd72999fb3519b0d,13720879,39,0,2,-62.78763459,0.0,0.0120169631522142,-62.799651553152216,0x04236cf5c02aaa39b223fe8d0a0e5c4f27ead9083c756cc280000004000000000000000000000000000000000000000000000003675a7cff17fac000d0e30db0bb2b8038a1640196fbe3e38816f3e67cba72d940000000040902f1ac99ac8ca7087fa4a2a1fb6357269965a2014abc35000000043850c7bd397ff1542f962076d0bfe58ea045ffa2d347aca0000000040902f1acbb2b8038a1640196fbe3e38816f3e67cba72d940000000040902f1acc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000006423b872dd00000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f66000000000000000000000000bb2b8038a1640196fbe3e38816f3e67cba72d940000000000000000000000000000000000000000000000003675a7cff17fac000bb2b8038a1640196fbe3e38816f3e67cba72d94000000084022c0d9f000000000000000000000000000000000000000000000000000000001e921dec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f66000000000000000000000000000000000000000000000000000000000000002099ac8ca7087fa4a2a1fb6357269965a2014abc3500000124128acb08000bb8000000000000000000397ff1542f962076d0bfe58ea045ffa2d347aca00000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001e921dec00000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000602260fac5e5542a773aa44fbcfedf7c193bc2c59900000044a9059cbb00000000000000000000000099ac8ca7087fa4a2a1fb6357269965a2014abc35000000000000000000000000000000000000000000000000000000001e921dec0000005c397ff1542f962076d0bfe58ea045ffa2d347aca0000000040902f1ac397ff1542f962076d0bfe58ea045ffa2d347aca000000084022c0d9f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036cd0b9a6b376fa0f00000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000000000000000000000000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d0000000000000000000000000000000000000000000000036cd0b9a6b376fa0f
0x129dd75baf175e43104a436cb19d779a2f78e969a9ea0200ca7e796168af4c6e,13663495,46,1,2,0.5790036287355694,0.0,0.01536730800029724,0.5636363207352721,0x04236cf57a250d5630b4cf539739df2c5dacb4c659f2488d00000104791ac947000000000000000000000000000000000000000000000037802bba1230ac2e08000000000000000000000000000000000000000000000000078c1c79a63a2fbe00000000000000000000000000000000000000000000000000000000000000a000000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000000000000000619b5f570000000000000000000000000000000000000000000000000000000000000002000000000000000000000000298d492e8c1d909d3f63bc4a36c66c64acb3d695000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x16ad8efab9a6b5a62d653b7785fe3a8c7fc2a7565d3109bd8503450db3223e28,13462469,335,1,2,10.0,0.0,0.001868639889982415,9.998131360110017,0x
0x1d03a927b9ec0c4222d16b4efd3e5616cc2fa04db0c49ce0a471c7c3a60ee95c,13492004,147,0,2,-51.55417479,0.0,0.0083705818536816,-51.56254537185368,0x04236cf5c02aaa39b223fe8d0a0e5c4f27ead9083c756cc280000004000000000000000000000000000000000000000000000002cb7538d366594000d0e30db0a478c2975ab1ea89e8196811f51a7b7ade33eb11000000040902f1ac60594a405d53811d3bc4766596efd80fd545a270000000043850c7bda478c2975ab1ea89e8196811f51a7b7ade33eb11000000040902f1acc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000006423b872dd00000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f66000000000000000000000000a478c2975ab1ea89e8196811f51a7b7ade33eb11000000000000000000000000000000000000000000000002cb7538d366594000a478c2975ab1ea89e8196811f51a7b7ade33eb1100000084022c0d9f000000000000000000000000000000000000000000002e666c8c454547b07df0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000000000000000000000206b175474e89094c44da98b954eedeac495271d0f0000002470a0823100000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6660594a405d53811d3bc4766596efd80fd545a27000000124128acb0800000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000002e666c8c454547b07df000000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000606b175474e89094c44da98b954eedeac495271d0f00000044a9059cbb00000000000000000000000060594a405d53811d3bc4766596efd80fd545a270000000000000000000000000000000000000000000002e666c8c454547b07df00000005cc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d000000000000000000000000000000000000000000000002cf925f87853d4902
0x24d492975218af87ad4286a38e710dc79114f13eaa970bd1677d27278ee3096c,13626910,90,1,2,-25.0,0.0,0.007170032165762433,-25.007170032165764,0x205c2878000000000000000000000000e2d1f885f3972e6eb7aed9cec3a03c9b166b2b440000000000000000000000000000000000000000000000015af1d78b58c40000
0x2c6b3f88f877a916d3dd4c8004b63b883b6ab53441f49dce327971d158d09ca9,13752865,56,0,2,0.0,0.0,0.04559991046240682,-0.04559991046240682,0x04236cf5ed5f8192e28da677b823679aba71f97628f211e000000084f389e16100000000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f5640000000000000000000000000000000000000000000000000000003a352944000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000f4240b783c0e21763bef9f2d04e6499abfbe23adb7e1f00000004edaafe20b783c0e21763bef9f2d04e6499abfbe23adb7e1f000000043be8261bed5f8192e28da677b823679aba71f97628f211e000000084f389e1610000000000000000000000008c54aa2a32a779e6f6fbea568ad85a19e0109c260000000000000000000000000000000000000000000350619bb1b7acbd454b4800000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000de0b6b3a764000088e6a0c2ddd26feeb64f039a2c41296fcb3f564000000324128acb0800000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001cde30ad96400000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000260c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d00000000000000000000000000000000000000000000001ab947ef60c94e2976b783c0e21763bef9f2d04e6499abfbe23adb7e1f8000004400000000000000000000000000000000000000000000001ab947ef60c94e29768de9322200000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000001ab947ef60c94e29768c54aa2a32a779e6f6fbea568ad85a19e0109c2600000124128acb0800000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f66000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001a5489ae237b01c03d1b900000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000060956f47f50a910163d8bf957cf5846d573e7f87ca00000044a9059cbb0000000000000000000000008c54aa2a32a779e6f6fbea568ad85a19e0109c2600000000000000000000000000000000000000000001a5489ae237b01c03d1b90000005ca0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800000044a9059cbb00000000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f5640000000000000000000000000000000000000000000000000000001cde30ad96400000000000000000000000000000250a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800000044a9059cbb0000000000000000000000000a04e8b4d2014cd2d07a9eaf946945bed1262a99000000000000000000000000000000000000000000000000000000009c15fd3d
0x2ff478537090c3af5ec815f565872774a9b0e3cf591f2e27e2743e54ccd416b8,13742819,6,1,2,3.663494926874691,0.0,0.1259593331524832,3.5375355937222075,0x04236cf51f573d6fb3f13d689ff844b4ce37794d79a7ff1c00000044095ea7b30000000000000000000000002f9ec37d6ccfff1cab21733bdadede11c823ccb0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc02aaa39b223fe8d0a0e5c4f27ead9083c756cc28000000400000000000000000000000000000000000000000000000182421c1a1371d6c6d0e30db0c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d00000000000000000000000000000000000000000000000182421c1a1371d6c62f9ec37d6ccfff1cab21733bdadede11c823ccb08000014400000000000000000000000000000000000000000000000182421c1a1371d6c6b77d239b00000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000182421c1a1371d6c600000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee000000000000000000000000b1cd6e4153b2a390cf00a6556b0fc1458c4a55330000000000000000000000001f573d6fb3f13d689ff844b4ce37794d79a7ff1c2f9ec37d6ccfff1cab21733bdadede11c823ccb000000144b77d239b00000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000006e56c95bf9ab61966c8000000000000000000000000000000000000000000000000000000000000000100000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030000000000000000000000001f573d6fb3f13d689ff844b4ce37794d79a7ff1c000000000000000000000000e9fc4d92ce7eab68740871f4e4d0ac65a8f8f82c0000000000000000000000006c6ee5e31d828de241282b9606c8e98ea48526e2f7849d0852fc588210b9c0d8b26f43c0c9bc147000000124128acb0800000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000bfa9a1bebc5d88cf87c4000000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000606c6ee5e31d828de241282b9606c8e98ea48526e200000044a9059cbb000000000000000000000000f7849d0852fc588210b9c0d8b26f43c0c9bc14700000000000000000000000000000000000000000000bfa9a1bebc5d88cf87c400000005cc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d000000000000000000000000000000000000000000000001b5197553ec41898e
0x323c3f9a6fc2e41a1bffceb2d22622fc68dcd3f0503195fee1ab4145ff59c82f,13751638,25,0,2,-2.22997053,0.0,0.015867903222728907,-2.245838433222729,0x04236cf5c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2800000040000000000000000000000000000000000000000000000001ef27261d43d5400d0e30db06c063a6e8cd45869b5eb75291e65a3de298f3aa8000000043850c7bdfb3cd0b8a5371fe93ef92e3988d30df7931e2820000000040902f1ac6c063a6e8cd45869b5eb75291e65a3de298f3aa800000144128acb08000bb8000000000000000000fb3cd0b8a5371fe93ef92e3988d30df7931e282000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001ef27261d43d540000000000000000000000000000000000000000000000000000000001000276a400000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000080c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000006423b872dd00000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000006c063a6e8cd45869b5eb75291e65a3de298f3aa80000000000000000000000000000000000000000000000001ef27261d43d54000000007cfb3cd0b8a5371fe93ef92e3988d30df7931e2820000000040902f1acfb3cd0b8a5371fe93ef92e3988d30df7931e282000000084022c0d9f00000000000000000000000000000000000000000000000021dbf9d89afd284b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f660000000000000000000000000000000000000000000000000000000000000020c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d00000000000000000000000000000000000000000000000021dbf9d89afd284b
0x34e568e3de96f572b65c3e7f1117ac0087eb553305aa07e7722bbabf01a29a7f,13688172,136,0,2,-0.21116639454057395,0.0,0.016476538705755748,-0.2276429332463297,0x04236cf5c02aaa39b223fe8d0a0e5c4f27ead9083c756cc28000000400000000000000000000000000000000000000000000000002ee36b78f174501d0e30db0c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000044a9059cbb000000000000000000000000dca79f1f78b866988081de8a06f92b5e5d31685700000000000000000000000000000000000000000000000002ee36b78f174501dca79f1f78b866988081de8a06f92b5e5d316857000000a4022c0d9f00000000000000000000000000000000000000000000000001f085d5317d5e500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d97bf7a5d2357f8fa460ba7c5571c6db08e2502800000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000d97bf7a5d2357f8fa460ba7c5571c6db08e25028000000a4022c0d9f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095df175e7ec9ef2000000000000000000000000c2c1b1dcb36bfc526151613e487fa2a2bac8def700000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000c2c1b1dcb36bfc526151613e487fa2a2bac8def7000000a4022c0d9f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c028bacdcdf8b2d00000000000000000000000031b7e144b2cf261a015004bee9c84a98263e2f6600000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000242e1a7d4d0000000000000000000000000000000000000000000000000c028bacdcdf8b2d
